epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.876,1.60639,5.12726,3.85679,1.89027,0.7194,0.20754,0.21569,0.11959,0.7087,0.19987,0.20003,0.10287,1.72663,3.78991,2.76869,2.1823,0.000174529,0.000174529,0.000174529
2,242.13,1.48719,3.32077,2.99607,1.69415,0.51621,0.27879,0.27114,0.1574,0.49674,0.25736,0.25096,0.13764,1.65743,3.37228,2.59305,2.04705,0.000342935,0.000342935,0.000342935
3,360.272,1.4543,3.15538,2.74058,1.64534,0.45917,0.30709,0.28584,0.15846,0.45029,0.29764,0.26988,0.13948,1.69277,3.33344,2.50821,2.08171,0.000504398,0.000504398,0.000504398
4,482.772,1.4287,3.04811,2.57017,1.60438,0.52855,0.29314,0.30732,0.16556,0.4909,0.31282,0.29369,0.14912,1.70366,3.23801,2.41637,2.03575,0.000494756,0.000494756,0.000494756
5,602.976,1.41837,2.99403,2.44582,1.58215,0.48143,0.35692,0.31631,0.18027,0.48404,0.34725,0.29885,0.15486,1.64368,3.34922,2.33706,1.97177,0.000484341,0.000484341,0.000484341
6,723.129,1.4285,2.97307,2.36798,1.58604,0.43772,0.31501,0.32956,0.18519,0.43954,0.3085,0.3131,0.16794,1.6482,3.26014,2.31391,1.985,0.000473926,0.000473926,0.000473926
7,840.937,1.37833,2.90643,2.24269,1.55945,0.59473,0.36156,0.35967,0.20608,0.58297,0.35165,0.33838,0.17767,1.57428,3.18993,2.24386,1.92523,0.000463511,0.000463511,0.000463511
8,959.518,1.36347,2.83829,2.18525,1.53544,0.53851,0.37307,0.38674,0.22603,0.56693,0.33939,0.35241,0.20145,1.57809,3.06163,2.09802,1.91537,0.000453096,0.000453096,0.000453096
9,1076.32,1.36248,2.81302,2.13427,1.52819,0.36933,0.43967,0.374,0.21848,0.34487,0.4176,0.35114,0.1913,1.57119,3.05109,2.1281,1.88042,0.000442682,0.000442682,0.000442682
10,1195.08,1.33567,2.77118,2.06996,1.52811,0.49901,0.45671,0.42787,0.24592,0.49153,0.41081,0.40014,0.21612,1.5848,2.99729,2.03311,1.90484,0.000432267,0.000432267,0.000432267
11,1312.84,1.31811,2.73476,2.01127,1.50232,0.56168,0.43088,0.42072,0.24829,0.53838,0.39642,0.38835,0.21103,1.56093,3.01995,2.06793,1.90149,0.000421852,0.000421852,0.000421852
12,1430.16,1.30328,2.70633,1.97514,1.49545,0.54519,0.42504,0.41831,0.23808,0.52755,0.39102,0.38682,0.20319,1.61204,3.05373,2.01737,1.91196,0.000411437,0.000411437,0.000411437
13,1548.66,1.30968,2.72089,1.97763,1.49814,0.47515,0.43951,0.4395,0.26297,0.45126,0.41664,0.40667,0.22424,1.54189,2.95014,2.00627,1.85926,0.000401022,0.000401022,0.000401022
14,1668.62,1.29347,2.66647,1.91882,1.48613,0.62542,0.38774,0.42497,0.25863,0.61482,0.37755,0.40466,0.22674,1.53546,2.97754,1.99641,1.84252,0.000390608,0.000390608,0.000390608
15,1788.65,1.2847,2.65698,1.89417,1.46582,0.42213,0.48728,0.43945,0.26735,0.40428,0.42227,0.40039,0.23371,1.53037,2.88471,1.86241,1.83818,0.000380193,0.000380193,0.000380193
16,1908.31,1.27199,2.62097,1.83088,1.45338,0.63548,0.41811,0.47009,0.27936,0.59546,0.3936,0.4269,0.241,1.49833,2.90684,1.90136,1.81788,0.000369778,0.000369778,0.000369778
17,2026.76,1.26723,2.59514,1.83451,1.45549,0.44304,0.49255,0.45458,0.27569,0.45275,0.45429,0.43787,0.24019,1.50813,2.93039,1.8861,1.80801,0.000359363,0.000359363,0.000359363
18,2146.35,1.25237,2.59939,1.78603,1.44575,0.50609,0.45885,0.4802,0.28336,0.43548,0.46121,0.44579,0.24238,1.50434,2.93631,1.82212,1.80777,0.000348948,0.000348948,0.000348948
19,2266.68,1.24877,2.54494,1.74347,1.4449,0.46459,0.44986,0.47201,0.28572,0.44469,0.43284,0.43983,0.24111,1.52647,2.89932,1.82207,1.8656,0.000338534,0.000338534,0.000338534
20,2387.08,1.23069,2.51294,1.69862,1.42943,0.49896,0.52906,0.49194,0.29745,0.45514,0.47857,0.4437,0.25598,1.488,2.84307,1.72087,1.78622,0.000328119,0.000328119,0.000328119
21,2505.51,1.23027,2.54682,1.71168,1.4281,0.51589,0.45964,0.46967,0.28567,0.50237,0.44042,0.44586,0.24588,1.4726,2.88729,1.83736,1.77291,0.000317704,0.000317704,0.000317704
22,2624.89,1.2199,2.50544,1.6759,1.41773,0.57119,0.4884,0.49846,0.30607,0.52571,0.47683,0.46381,0.25933,1.4636,2.88455,1.73826,1.79368,0.000307289,0.000307289,0.000307289
23,2743.44,1.24024,2.49193,1.66233,1.41639,0.52533,0.47354,0.47924,0.29402,0.48195,0.43898,0.437,0.2513,1.46435,2.9087,1.78667,1.76492,0.000296874,0.000296874,0.000296874
24,2863.08,1.21568,2.4701,1.63758,1.41637,0.56011,0.50223,0.51349,0.32222,0.54112,0.49364,0.48964,0.27216,1.44353,2.84758,1.71399,1.74648,0.00028646,0.00028646,0.00028646
25,2982.61,1.18078,2.41076,1.55915,1.39105,0.49117,0.53982,0.49632,0.29683,0.47195,0.49967,0.46063,0.25963,1.46336,2.84837,1.73424,1.7753,0.000276045,0.000276045,0.000276045
26,3102.22,1.20295,2.42166,1.5945,1.39892,0.50397,0.5457,0.50717,0.31771,0.49467,0.5096,0.47434,0.27233,1.45268,2.87987,1.67499,1.76726,0.00026563,0.00026563,0.00026563
27,3222.93,1.17961,2.43403,1.55616,1.37864,0.52218,0.54128,0.52267,0.31625,0.49235,0.51339,0.47901,0.26645,1.45155,2.80135,1.67201,1.76044,0.000255215,0.000255215,0.000255215
28,3342.81,1.16886,2.39866,1.52942,1.37843,0.54841,0.53385,0.52594,0.32995,0.5106,0.50848,0.48632,0.27601,1.44348,2.83776,1.67155,1.75409,0.0002448,0.0002448,0.0002448
29,3462.79,1.16317,2.37594,1.53786,1.37253,0.59003,0.54175,0.5515,0.34562,0.57722,0.51765,0.50672,0.29021,1.4307,2.82411,1.6576,1.7414,0.000234386,0.000234386,0.000234386
30,3581.32,1.14897,2.35584,1.47088,1.3599,0.59042,0.5122,0.54963,0.34276,0.5519,0.48478,0.49997,0.28073,1.42033,2.88944,1.60488,1.76602,0.000223971,0.000223971,0.000223971
31,3702.1,1.16119,2.38286,1.50389,1.36927,0.59188,0.47191,0.52613,0.33202,0.60075,0.45263,0.49095,0.28445,1.42858,2.8748,1.63654,1.75872,0.000213556,0.000213556,0.000213556
32,3820.72,1.15411,2.35059,1.47766,1.36128,0.62842,0.51409,0.549,0.34204,0.60519,0.49877,0.5157,0.28947,1.46029,2.88394,1.56614,1.7673,0.000203141,0.000203141,0.000203141
33,3940.71,1.14141,2.3323,1.45202,1.35459,0.57753,0.52554,0.53603,0.3439,0.55032,0.50875,0.49719,0.28555,1.42816,2.83481,1.56888,1.74134,0.000192726,0.000192726,0.000192726
34,4060.37,1.13318,2.3111,1.44667,1.35306,0.60941,0.52463,0.55489,0.35156,0.52095,0.58515,0.53039,0.29643,1.42729,2.79383,1.53428,1.73372,0.000182312,0.000182312,0.000182312
35,4183.46,1.12227,2.30722,1.41073,1.34209,0.57157,0.58999,0.5633,0.35399,0.55574,0.56926,0.52363,0.29924,1.41236,2.83782,1.56574,1.72839,0.000171897,0.000171897,0.000171897
36,4304.64,1.12175,2.28793,1.39222,1.33983,0.58853,0.56988,0.56322,0.35889,0.56535,0.55122,0.52903,0.30328,1.40322,2.86874,1.51887,1.7113,0.000161482,0.000161482,0.000161482
37,4426.46,1.11239,2.27517,1.37462,1.33325,0.59452,0.55718,0.56264,0.35633,0.5824,0.5184,0.51782,0.29754,1.39639,2.82704,1.50793,1.73734,0.000151067,0.000151067,0.000151067
38,4546.51,1.11378,2.27028,1.3679,1.32958,0.61123,0.56092,0.56614,0.3605,0.58029,0.53449,0.52672,0.30423,1.40839,2.83036,1.51792,1.73024,0.000140652,0.000140652,0.000140652
39,4667.68,1.10424,2.24915,1.35379,1.32553,0.58145,0.60764,0.56315,0.35752,0.55916,0.57714,0.52132,0.30208,1.42576,2.85112,1.50402,1.74884,0.000130238,0.000130238,0.000130238
