epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2342.73,1.60025,2.72957,4.05303,1.89703,0.6068,0.04778,0.04463,0.01648,0.5865,0.03204,0.0279,0.00945,2.09091,3.39478,3.63648,2.59434,0.000132775,0.000132775,0.000132775
2,2445.28,1.56317,1.32416,3.38415,1.86211,0.34444,0.12581,0.08415,0.03081,0.32752,0.08157,0.06049,0.02109,2.21989,3.48451,3.42248,2.59033,0.00026084,0.00026084,0.00026084
3,2544.69,1.53259,1.26916,3.05228,1.8174,0.31458,0.14827,0.12777,0.05889,0.26727,0.10335,0.08288,0.03464,2.13816,3.61516,3.35914,2.5799,0.000383624,0.000383624,0.000383624
4,2644.38,1.51403,1.23198,2.87416,1.78539,0.37677,0.16759,0.15107,0.06703,0.34421,0.1338,0.11204,0.03919,2.05197,3.5821,3.55586,2.50777,0.00037624,0.00037624,0.00037624
5,2744.43,1.47377,1.25308,2.67909,1.73832,0.39358,0.18909,0.17937,0.07723,0.36175,0.14247,0.12046,0.04257,2.16095,3.5876,3.1863,2.60068,0.00036832,0.00036832,0.00036832
6,2844.14,1.46228,1.20057,2.53357,1.71909,0.43294,0.18928,0.18592,0.08281,0.363,0.12842,0.10405,0.03826,2.03398,3.30784,3.21976,2.46652,0.0003604,0.0003604,0.0003604
7,2943.43,1.43163,1.14396,2.42437,1.68369,0.29898,0.21191,0.21712,0.10687,0.2407,0.15781,0.14277,0.0551,2.0459,4.25979,3.1206,2.50934,0.00035248,0.00035248,0.00035248
8,3042.67,1.42575,1.15514,2.31369,1.67501,0.32444,0.24071,0.21915,0.10925,0.29116,0.14155,0.14069,0.05711,1.9507,3.67132,3.2189,2.49185,0.00034456,0.00034456,0.00034456
9,3142.02,1.38885,1.06905,2.20856,1.64945,0.36638,0.29295,0.26886,0.13233,0.30868,0.23023,0.17373,0.07255,2.06463,3.96973,2.82867,2.48646,0.00033664,0.00033664,0.00033664
10,3240.72,1.3631,1.0864,2.14669,1.63235,0.44277,0.25047,0.26633,0.12835,0.42998,0.1526,0.16857,0.0667,2.03983,3.86279,3.0994,2.53526,0.00032872,0.00032872,0.00032872
